accession	file_path	notes
GCF_000146165.2	data/genomes/phase5_0/GCF_000146165.2.fna	Phase 5.0 main: Shewanella oneidensis MR-1 [iron_metals]. biomass=Gram_neg
GCF_000152265.2	data/genomes/phase5_0/GCF_000152265.2.fna	Phase 5.0 main: Ferroplasma acidarmanus Fer1 [iron_metals]. biomass=Archaea
GCF_000153465.1	data/genomes/phase5_0/GCF_000153465.1.fna	Phase 5.0 main: Aurantimonas manganoxydans SI85-9A1 [manganese_metabolism]. biomass=Gram_neg
GCF_000153765.1	data/genomes/phase5_0/GCF_000153765.1.fna	Phase 5.0 main: Mariprofundus ferrooxydans PV-1 [iron_metals]. biomass=Gram_neg
GCF_000154785.2	data/genomes/phase5_0/GCF_000154785.2.fna	Phase 5.0 main: Roseobacter litoralis Och 149 [marine_user_interest]. biomass=Gram_neg
GCF_000181495.1	data/genomes/phase5_0/GCF_000181495.1.fna	Phase 5.0 main: Bacillus sp. SG-1 [manganese_metabolism]. biomass=Gram_neg
GCF_000183725.1	data/genomes/phase5_0/GCF_000183725.1.fna	Phase 5.0 main: Sulfuricurvum kujiense DSM 16994 [sulfur_metabolism]. biomass=Gram_neg
GCF_000186885.1	data/genomes/phase5_0/GCF_000186885.1.fna	Phase 5.0 main: Desulfobulbus propionicus 1pr3 [sulfate_reduction]. biomass=Gram_neg
GCF_000195775.1	data/genomes/phase5_0/GCF_000195775.1.fna	Phase 5.0 main: Rhodopseudomonas palustris CGA009 [phototrophy]. biomass=Gram_neg
GCF_000196015.1	data/genomes/phase5_0/GCF_000196015.1.fna	Phase 5.0 main: Cupriavidus metallidurans CH34 [heavy_metal_respiration]. biomass=Gram_neg
GCF_000196455.1	data/genomes/phase5_0/GCF_000196455.1.fna	Phase 5.0 main: Acetoanaerobium sticklandii DSM 519 [fermentation]. biomass=Gram_neg
GCF_000196875.2	data/genomes/phase5_0/GCF_000196875.2.fna	Phase 5.0 main: Halomonas elongata DSM 2581 [halophile_alkaliphile]. biomass=Gram_neg
GCF_000203855.3	data/genomes/phase5_0/GCF_000203855.3.fna	Phase 5.0 main: Lactiplantibacillus plantarum WCFS1 [fermentation]. biomass=Gram_neg
GCF_000204075.1	data/genomes/phase5_0/GCF_000204075.1.fna	Phase 5.0 main: Trichormus variabilis ATCC 29413 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000245015.1	data/genomes/phase5_0/GCF_000245015.1.fna	Phase 5.0 main: Beggiatoa alba B18LD [sulfur_metabolism]. biomass=Gram_neg
GCF_000247605.1	data/genomes/phase5_0/GCF_000247605.1.fna	Phase 5.0 main: Acetobacterium woodii DSM 1030 [carbon_fixation]. biomass=Gram_neg
GCF_000265295.1	data/genomes/phase5_0/GCF_000265295.1.fna	Phase 5.0 main: Sulfurospirillum barnesii SES-3 [heavy_metal_respiration]. biomass=Gram_neg
GCF_000283235.1	data/genomes/phase5_0/GCF_000283235.1.fna	Phase 5.0 main: Methylocystis parvus OBBP [methane_metabolism]. biomass=Gram_neg
GCF_000283495.2	data/genomes/phase5_0/GCF_000283495.2.fna	Phase 5.0 main: Megasphaera elsdenii DSM 20460 [fermentation]. biomass=Gram_neg
GCF_000284095.1	data/genomes/phase5_0/GCF_000284095.1.fna	Phase 5.0 main: Selenomonas ruminantium subsp. lactilytica [fermentation]. biomass=Gram_neg
GCF_000284315.1	data/genomes/phase5_0/GCF_000284315.1.fna	Phase 5.0 main: Leptospirillum ferrooxidans C2-3 [iron_metals]. biomass=Gram_neg
GCF_000296795.1	data/genomes/phase5_0/GCF_000296795.1.fna	Phase 5.0 main: Candidatus Jettenia caeni [nitrogen_metabolism]. biomass=Gram_neg
GCF_000308735.2	data/genomes/phase5_0/GCF_000308735.2.fna	Phase 5.0 main: Klebsiella michiganensis M5al (formerly K. oxytoca; canonical nif operon strain) [nitrogen_metabolism]. biomass=Gram_neg
GCF_000312705.1	data/genomes/phase5_0/GCF_000312705.1.fna	Phase 5.0 main: Anabaena sp. 90 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000321415.2	data/genomes/phase5_0/GCF_000321415.2.fna	Phase 5.0 main: Thioalkalivibrio nitratireducens DSM 14787 [sulfur_metabolism]. biomass=Gram_neg
GCF_000341545.2	data/genomes/phase5_0/GCF_000341545.2.fna	Phase 5.0 main: Nitrospina gracilis 3/211 [nitrogen_metabolism]. biomass=Gram_neg
GCF_000350545.1	data/genomes/phase5_0/GCF_000350545.1.fna	Phase 5.0 main: Desulfotignum phosphitoxidans DSM 13687 [phosphate_metabolism]. biomass=Gram_neg
GCF_000373385.1	data/genomes/phase5_0/GCF_000373385.1.fna	Phase 5.0 main: Thiobacillus thioparus DSM 505 [sulfur_metabolism]. biomass=Gram_neg
GCF_000445445.2	data/genomes/phase5_0/GCF_000445445.2.fna	Phase 5.0 main: Sporomusa ovata DSM 2662 [acetogenesis]. biomass=Gram_neg
GCF_000513295.1	data/genomes/phase5_0/GCF_000513295.1.fna	Phase 5.0 main: Magnetospirillum gryphiswaldense MSR-1 [magnetotaxis]. biomass=Gram_neg
GCF_000516475.1	data/genomes/phase5_0/GCF_000516475.1.fna	Phase 5.0 main: Candidatus Magnetoglobus multicellularis Araruama [magnetotaxis]. biomass=Gram_neg
GCF_000597865.1	data/genomes/phase5_0/GCF_000597865.1.fna	Phase 5.0 main: Peptoclostridium acidaminophilum DSM 3953 [fermentation]. biomass=Gram_neg
GCF_000695095.2	data/genomes/phase5_0/GCF_000695095.2.fna	Phase 5.0 main: Gemmatimonas phototrophica [phototrophy]. biomass=Gram_neg
GCF_000698785.1	data/genomes/phase5_0/GCF_000698785.1.fna	Phase 5.0 main: Nitrososphaera viennensis EN76 [nitrogen_metabolism]. biomass=Archaea
GCF_000762265.1	data/genomes/phase5_0/GCF_000762265.1.fna	Phase 5.0 main: Methanobacterium formicicum [methane_metabolism]. biomass=Archaea
GCF_000763575.1	data/genomes/phase5_0/GCF_000763575.1.fna	Phase 5.0 main: Thermoanaerobacter kivui LKT-1 [acetogenesis]. biomass=Gram_neg
GCF_000786775.1	data/genomes/phase5_0/GCF_000786775.1.fna	Phase 5.0 main: Candidatus Scalindua brodae [nitrogen_metabolism]. biomass=Gram_neg
